,Movie,Rating,Released,Director,Writer1,Writer2,Star1,Star2,MovieRating,RunTime,Synopsis,PopularityScore
10,The Hills Have Eyes,6.3,1977,Wes Craven,Wes Craven,,Susan Lanier,Robert Houston,R,1h 30m,"A family going to California accidentally goes through an Air Testing range closed to the public. They crash and are stranded in a desert. They are being stalked by a group of people, which have not emerged into modern times. —Paul Popiel <marekp@interlog.com>","2,533"
11,The Last House on the Left,5.8,1972,Wes Craven,Wes Craven,Ulla Isaksson,Sandra Peabody,Lucy Grantham,R,1h 24m,"On the eve of her seventeenth birthday, Mari Collingwood tells her parents that she is going to the concert of underground band Bloodlust in New York with her friend Phyllis Stone. She borrows the family's car and heads with her friend to a dangerous neighborhood in the city. Meanwhile, the sadistic and cruel Krug Stillo and Fred 'Weasel' Podowski escape from prison and are back to a hideout with their partners Sadie (Jeramie Rain) and Krug's addicted son Junior Stillo (Marc Sheffler) after killing two guards and one shepherd dog in their runaway. The two girls seek marijuana near the theater, and meet Junior who offers some Colombian grass if they follow him to his apartment. They do, and are subdued by the criminals that rape Phyllis. On the next morning, they hide the girls in the trunk of their convertible and head to Canada. However, they have a problem with the car's rod and they stop on the road close to Mari's house. When Phyllis tries to escape, the gang stabs her to death and shoots Mari after humiliating and raping them. The gang seek shelter in Mari's home, but during the night, her mother overhears a conversation of the criminals telling that they have killed her daughter. She and her husband plot to overpower the criminals and revenge the death of their princess. —Claudio Carvalho, Rio de Janeiro, Brazil","2,884"
12,The Last Days on Mars,5.5,2013,Ruairi Robinson,Clive Dawson,Sydney J. Bounds,Liev Schreiber,Elias Koteas,R,1h 38m,"On the last day of the first manned mission to Mars, a crew member of Tantalus Base believes he's made an historic discovery; fossilised evidence of bacterial life. Unwilling to let the relief crew claim the glory, he disobeys orders to pack up, and goes out on an unauthorised expedition to collect further samples. But a routine excavation turns to disaster, when the porous ground collapses, and he falls into a deep crevice and near certain death. His devastated colleagues attempt to recover his body. However, when another vanishes, they begin to realise that the life-form they have discovered is highly dangerous to all human life. —AnonymousB","3,921"
13,The Burning,6.3,1981,Tony Maylam,Harvey Weinstein,Tony Maylam,Brian Matthews,Leah Ayres,R,1h 31m,"A janitor at a summer camp is accidently burned severely from a prank. Years later, he is released from an institute, and returns to the camp with a pair of hedge clippers to take revenge on the campers. —Humberto Amador","4,067"
14,The VelociPastor,5.1,2018,Brendan Steere,Brendan Steere,,Gregory James Cohan,George Schewnzer,Not Rated,1h 15m,"After losing his parents, a priest travels to China, where he inherits a mysterious ability that allows him to turn into a dinosaur. At first horrified by this new power, a hooker convinces him to use it to fight crime. And ninjas.","4,117"
15,Jeepers Creepers III,3.9,2017,Victor Salva,Victor Salva,,Stan Shaw,Gabrielle Haugh,Not Rated,1h 40m,"Set between the first and second film, Sgt Davis Tubbs assembles a task force to destroy the Creeper once and for all while growing closer than ever before to learning the secrets of its dark origins, as the monster terrorizes a local farming community. —kylehanna-11944","4,523"
16,Plan 9 from Outer Space,3.9,1957,Edward D. Wood Jr.,Edward D. Wood Jr.,,Gregory Walcott,Tom Keene,Approved,1h 19m,"In California, an old man (Bela Lugosi) grieves the loss of his wife (Vampira) and on the next day he also dies. However, the space soldier Eros and his mate Tanna use an electric device to resurrect them both and the strong Inspector Clay who was murdered by the couple. Their intention is not to conquer Earth but to stop mankind from developing the powerful bomb ""Solaranite"" that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers in the sky, a colonel, a police lieutenant, a commercial pilot, his wife and a policeman try to stop the aliens. —Claudio Carvalho, Rio de Janeiro, Brazil","4,864"
17,Murder Party,5.8,2007,Jeremy Saulnier,Jeremy Saulnier,,Chris Sharp,Kate Porterfield,Not Rated,1h 19m,"On Halloween Eve in Brooklyn, an average Joe loser named Chris finds an invitation to a costume party. Arriving at the ""party"", Chris discovers he's fallen prey to the lethal trap set by deranged artists. As the night wears on, rivalries within the group flare up. A body count accrues, and Chris must take advantage of the ensuing chaos if he's to survive the night. —Magnolia Home Ent",
18,The Sand,3.8,2015,Isaac Gabaeff,Alex Greenfield,Ben Powell,Brooke Butler,Cleo Berry,TV-14,1h 24m,"After an epic beach party in celebration of their college graduation, a large group of hung-over twenty-somethings wake up in a secluded private beach. But, under the bright light of an otherwise ordinary Spring-break morning, the unsuspecting teens realise that, somehow, the sand under their feet is alive, ready to devour those who touch it. Now, as the death toll keeps rising, an unseen carnivorous entity is waiting patiently for their slightest wrong move. Is there an escape from the killer beach? —Nick Riganas",
19,Carnival of Souls,7,1962,Herk Harvey,John Clifford,Herk Harvey,Candace Hilligoss,Frances Feist,PG,1h 18m,"Mary Henry is enjoying the day by riding around in a car with two friends. When challenged to a drag, the women accept, but are forced off of a bridge. It appears that all are drowned, until Mary, quite some time later, amazingly emerges from the river. After recovering, Mary accepts a job in a new town as a church organist, only to be dogged by a mysterious phantom figure that seems to reside in an old run-down pavilion. It is here that Mary must confront the personal demons of her spiritual insouciance. —Rick Gregory <rag.apa@email.apa.org>",
20,Happy Birthday to Me,6,1981,J. Lee Thompson,John C.W. Saxton,Peter Jobin,Melissa Sue Anderson,Glenn Ford,R,1h 50m,"Virginia Wainwright is a spirited young woman who has returned to a private school having survived a deadly accident and regenerative brain surgery. She is proud that she belongs to the Top Ten - the school's inner circle with the best students - and attempts to resume a normal life. But her friends are falling prey to a grueling series of murders, and soon there will be no one left to attend her 18th birthday party. Could it be her? Striving to rekindle the memory of her nightmarish accident, Virginia suffers from memory loss and traumatic blackouts. We soon learn the horrible truth behind her accident and what is going on before her birthday party... —Joseph Henson <gzr@cdc.net>",
21,Piranha,5.9,1978,Joe Dante,Richard Robinson,John Sayles,Bradford Dillman,Heather Menzies-Urich,R,1h 34m,"An insurance investigator and her local guide search the Lost River Lake area to find too missing teenagers. When stumbling on an abandoned military facility, they release by accident in the river some flesh-eating piranhas that were bred to use in the Vietnam war. The piranhas are heading straight to a nearby summer resort's lake and its guests.",
22,Saturday the 14th,4.6,1981,Howard R. Cohen,Jeff Begun,Howard R. Cohen,Richard Benjamin,Paula Prentiss,PG,1h 15m,"Primarily a spoof of the Friday the 13th series, but also takes shots at several other horror films. After his family moves to a new house, a young boy discovers a mysterious book describing the curse hanging over the date of Saturday the 14th. Opening the book releases a band of monsters into the house, and the family must join together to save themselves and their neighborhood. —Jean-Marc Rocher <tss.yh.nec.co.jp>",
23,Mirror Mirror,5.5,1990,Marina Sargenti,Annette Cascone,Gina Cascone,Karen Black,Yvonne De Carlo,R,1h 44m,"Shy teenager Megan moves to a new town with her widowed mother and quickly becomes the most unpopular girl in high school. But when she starts to communicate with a mysterious mirror, her tormentors begin to meet with a horrifying series of 'accidents'. Is the mirror a reflection of Megan's own inner demons... or has she unwittingly opened the doorway of the damned? —The Voyeur",
24,The Mean One,3.9,2022,Steven LaMorte,Flip Kobler,Finn Kobler,David Howard Thornton,Krystle Martin,16+,1h 33m,"The Mean One is a Christmas horror parody. In a sleepy mountain town, Cindy's parents are murdered and her Christmas is stolen by a bloodthirsty green figure in a red Santa suit, The Mean One. But when the ravenous, Christmas-hating creature begins to terrorize the town and threatens to ruin the holiday, she finds a new purpose: trapping and killing the monster.",
25,Return of the Living Dead III,5.9,1993,Brian Yuzna,John Penney,,J. Trevor Edmond,Melinda Clarke,,1h 37m,"The teenager Curt Reynolds steals the security key card from his father, Colonel John Reynolds, to snoop in the military base where his father works, with his girlfriend Julie Walker. They witness a top-secret experiment of reviving corpses for combat by Trioxin led by Colonel Reynolds, Colonel Peck and Colonel Sinclair. However, the greatest problem is to control the zombies from their hunger for human brains and their project fails with casualties of scientists. Curt and Julie flee from the base, Colonel Reynolds is removed from the project, being transferred to Oklahoma, and Colonel Sinclair assumes the command of the project. When Colonel Reynolds tells his son that he will be reassigned to Oklahoma City, Curt says no and decides to leave home with Julie. While riding his motorcycle, Julie plays with Curt and he loses control of his bike, throwing Julie to a pole and killing her. He uses his father's card to bring Julie inside the laboratory in the base and reanimates her using Trioxin and creating havoc in the base. They succeed to escape from the base, but when Julie's hunger increases, their problems begin. —Claudio Carvalho, Rio de Janeiro, Brazil",
26,Birdemic: Shock and Terror,1.7,2010,James Nguyen,James Nguyen,,Alan Bagh,Whitney Moore,Not Rated,1h 45m,"In the town of Half Moon Bay, California, an epidemic is on the horizon: a Birdemic. All the birds are attacking humanity for the devastating damage that they are inflicting on the earth: they're going after gas stations and people's cars, and the birds have something the humans will never see coming: Bird-Acid. —Johnny",
27,The Colony,5.3,2013,Jeff Renfroe,Jeff Renfroe,Svet Rouskov,Kevin Zegers,Laurence Fishburne,Not Rated,1h 35m,"Groups of people - colonies - are forced underground due to another ice age. Colony 7 goes to check on Colony 5, which they lost contact with. When they get there they find that the colony has fallen and there is a whole new enemy that they have to face on their way back. —James Medeiros",
28,Eaten Alive,5.5,1976,Tobe Hooper,Alvin L. Fast,Mardi Rustam,Neville Brand,Mel Ferrer,R,1h 31m,"Judd runs the Starlight Hotel out in some sort of swampy place and is unfortunately a few slices short of a loaf. He has a crocodile conveniently placed on the other side of the hotel's front porch railing. The croc will eat just about anything, as the hapless guests of the hotel find out soon enough. A reformed hooker, an unlucky family, and the father and sister of the hooker all suffer various rates of attrition as Judd tries to implement damage control. —Ed Sutton <esutton@mindspring.com>",
29,"Silent Night, Deadly Night",5.8,1984,Charles E. Sellier Jr.,Paul Caimi,Michael Hickey,Lilyan Chauvin,Gilmer McCormick,R,1h 19m,"After seeing his parents murdered in front of him a young boy spends most of his life in an orphanage where he is abused by the mother superior. When he becomes a teenager, he gets a job as a toy store Santa. When seeing two people having sex in the store brings on flashbacks of his parents, his turmoil leads him to become a Santa serial killer. —devint-16816",
30,Life After Beth,5.7,2014,Jeff Baena,Jeff Baena,,Aubrey Plaza,Dane DeHaan,R,1h 29m,"A hike alone in the woods ends tragically for Beth Slocum with a fatal snake bite. Her death leaves her parents and boyfriend Zach reeling. After the funeral, Zach tries to make friends with Mr. and Mrs. Slocum, but even they reject him, and he's determined to figure out why. Then he sees Beth. Her parents are trying to keep her resurrection a secret, but zombie Beth provides Zach with the opportunity to do everything with her that he didn't get to do while she was still alive. But with Beth's increasingly erratic behavior and even more strange occurrences around town, life with the undead Beth proves to be particularly complicated for her still-living loved ones. —Anne Campbell",
31,Siren,5.3,2016,Gregg Bishop,Ben Collins,Luke Piotrowski,Chase Williamson,Hannah Fierman,Not Rated,1h 22m,"Feeling excited about getting married, groom-to-be Jonah and his groomsmen depart for an epic bachelor party. However, as one thing leads to another, the four friends end up in a remote mansion which houses a private underground strip club for a select clientele with extreme tastes. And before long, Jonah sees first-hand the dark wonders of the secret nightclub as he finds enigmatic Lily singing a strange but entrancing song from the other side of the glass of his VIP room. Now, there is no turning back. But is beautiful Lily a victim or a predator? An angel or a demon? —Nick Riganas",
32,Attack of the 50 Foot Woman,5.1,1958,Nathan Juran,Mark Hanna,,Allison Hayes,William Hudson,Approved,1h 6m,"Nancy Archer is a rich socialite who is unhappily married to husband Harry, who left her once but came back to her when he needed money. It hasn't stopped him from continuing his affair with Honey Parker, and Nancy knows it. After a confrontation at a local bar, Nancy takes off in her car and has an encounter with a large sphere on the road. There have been rumors of UFOs in the area, but no one will believe her. After a second encounter, Nancy grows to an amazing size; more than enough to get her revenge. —garykmcd",
33,Cannibal Ferox,5.1,1981,Umberto Lenzi,Umberto Lenzi,,Giovanni Lombardo Radice,Lorraine De Selle,,1h 33m,"Anthropologists take a trip to the jungles of Colombia to study native cannibals. Instead, they find a band of drug dealers, using the natives to harvest coca leaves. After awhile, the natives are tired of being tortured slaves, and turn on their masters, as well as the anthropologists, thus filling the screen with gruesome splatter! —Humberto Amador",
34,Curse of the Demon,7.4,1957,Jacques Tourneur,Charles Bennett,Hal E. Chester,Dana Andrews,Peggy Cummins,Approved,1h 36m,"Dr. John Holden ventures to London to attend a paranormal psychology symposium with the intention to expose devil cult leader Julian Karswell. Holden is a skeptic and does not believe in Karswell's power. Nonetheless, he accepts an invitation to stay at Karswell's estate, along with Joanna Harrington, niece of Holden's confidant who was electrocuted in a bizarre automobile accident. Karswell secretly slips a parchment into Holden's papers that might possibly be a death curse. Recurring strange events finally strike fear into Holden, who believes that his only hope is to pass the parchment back to Karswell to break the demonic curse. —Rick Gregory <rag.apa@email.apa.org>",
35,Doom: Annihilation,3.8,2019,Tony Giglio,Tony Giglio,,Amy Manson,Dominic Mafham,R,1h 36m,"A group of UAC Marines respond to a distress call from a top secret scientific base on Phobos, a moon around Mars, only to discover it's been overrun by demons who seek to create Hell on Earth.",
36,The Devil Below,4.3,2021,Bradley Parker,Eric Scherbarth,Stefan Jaworski,Alicia Sanz,Adan Canto,,1h 28m,"There is an abandoned place nestled deep in Appalachian country where underground coal mines have been ablaze for decades. When a team of researchers try to find out how the fires started, they soon discover something more startling than the mystery that sent them there: they're not alone. —Vertical Entertainment",
37,Manos: The Hands of Fate,1.6,1966,Harold P. Warren,Harold P. Warren,,Tom Neyman,John Reynolds,Not Rated,1h 10m,"A family is driving across the country when they stumble across a mysterious house inhabited by the satyr-man Torgo. When the family decides to stay over at the house, mother Margaret is now the object of desire for Torgo and the owner of the house, The Master: a mysterious figure who dresses in a black robe decorated with red hands. —Johnny",
38,The Mutilator,5.2,1984,Buddy Cooper,Buddy Cooper,,Matt Mitler,Ruth Martinez,TV-MA,1h 26m,"On the day of his father's birthday, the boy Ed decides to clean his father's hunting rifle and accidentally shoots and kills his mother that was baking a cake in the kitchen. His father Ed Sr. is mentally affected by the incident. Years later, Ed is in a bar with college friends and they do not know what to do in the holidays, since they have not reserved any place to go. Out of the blue, Ed receives a phone call from his estranged father that asks him to close his fishing house in an island since it is off season. His friends invite themselves to go with him and spend a couple of days on the beach. Ed drives to the island with his girlfriend Pam and the couples Ralph and Sue, and Mike and Linda. They find the house open and an ax missing, but do not report to the police. Further, there is anyone in the island but them. Soon a killer starts to kill them one by one and hang them in a locker in the house garage. Who might be the serial-killer? —Claudio Carvalho, Rio de Janeiro, Brazil",
39,Madman,5.1,1981,Joe Giannone,Joe Giannone,Gary Sales,Gaylen Ross,Tony Nunziata,R,1h 28m,"At a summer camp for youths, cockey pre-teen calls out the name of mass serial killer ""Madman Marz"". Suddenly, counselors are being maimed and slaughtered in various ways by the backwoodsman who has returned when his name was called. —Humberto Amador",
40,Ben,5.3,1972,Phil Karlson,Stephen Gilbert,Gilbert Ralston,Lee Montgomery,Joseph Campanella,PG,1h 34m,"A lonely boy named Danny Garrison befriends Ben, the rat leader of the swarm of rats that had been trained by Willard Stiles. Ben becomes the boy's best friend, protecting him from bullying and keeping his spirits up in the face of a heart condition. However, things gradually take a downward turn as Ben's swarm becomes violent, resulting in several deaths. —Johnny P",
41,The Raven,6.5,1963,Roger Corman,Edgar Allan Poe,Richard Matheson,Vincent Price,Peter Lorre,G,1h 26m,"In this tongue-in-cheek movie inspired by Poe's poem, Dr. Craven is the son of a great sorcerer (now dead) who was once himself quite skilled at that profession, but has since abandoned it. One evening, a cowardly fool of a magician named Bedlo comes to Craven for help - the evil Scarabus has turned him into a raven and he needs someone to change him back. He also tells the reluctant wizard that Craven's long-lost wife Lenore, whom he loved greatly and thought dead, is living with the despised Scarabus.",
42,The Island of Dr. Moreau,5.9,1977,Don Taylor,H.G. Wells,Al Ramrus,Burt Lancaster,Michael York,PG,1h 39m,"A ship-wrecked man floats ashore on an island in the Pacific Ocean. The island is inhabited by a scientist, Dr. Moreau, who in an experiment has turned beasts into human beings. —Mattias Thuresson",
43,Absurd,5.3,1981,Joe D'Amato,George Eastman,,George Eastman,Annie Belle,Not Rated,1h 30m,"A priest-doctor chasing a man with supernatural regenerative abilities, who has recently escaped from a medical lab, reaches a small town where the mutant goes on a killing spree.",
44,The Hills Have Eyes Part II,3.8,1984,Wes Craven,Wes Craven,,Robert Houston,David Nichols,R,1h 26m,"A group of bikers, which includes some of the survivors from the original film, embark on a journey by bus to a biker race near the desert of the infamous incidents. However, because of a mistake they are late and decide to take a shortcut through the desert. Halfway through the desert the bus breaks down. While trying to repair the bus, some of the group wander off, and wind up in the traps of the survivors of the mutant family of the first. Then the mutants go after the rest... —Parca Mortem <icy_shadow@rocketmail.com>",
45,Dark Ride,4.6,2006,Craig Singer,Robert Dean Klein,Craig Singer,Jamie-Lynn Sigler,Patrick Renna,R,1h 34m,"Ten years after he brutally murdered two girls, a killer escapes from a mental institution and returns to his turf, the theme park attraction called Dark Ride. About to crash his path are a group of college kids on a road trip who stumble across the park. —Anonymous",
46,The Final Terror,5.2,1983,Andrew Davis,Jon George,Neill D. Hicks,John Friedrich,Adrian Zmed,R,1h 24m,A group of rangers go camping on unfamiliar forest grounds. All's well until the group members start getting killed by a cunning killer in the woods.,
47,Bates Motel,3.8,1987,Richard Rothstein,Richard Rothstein,,Bud Cort,Lori Petty,TV-PG,1h 30m,"This film is based on, but not in sequence with, the Psycho films. After the death of Norman Bates, a man who befriended him in the institution inherits the motel. In keeping with Norman's wishes, he tries to fix up the place and make it a respectable motel. —Jon Acello <JonAcello@AOL.COM>",
48,The Wasp Woman,4.8,1959,Roger Corman,Leo Gordon,Kinta Zertuche,Susan Cabot,Anthony Eisley,Approved,1h 3m,"Janice Starlin, the owner of a cosmetics firm, sees that her fading beauty is not only causing waves in her personal life but causing some prestige problems for her also-fading business. She becomes an easy mark for a pseudo-scientist, Eric Zinthrop, who claims to have developed a serum from the enzymes of wasps that will turn aging skin to youthful-looking skin. The second-best thing to a time machine. She, without any hesitation, agrees to be the first human to try the Zinthro injections. But, as her beauty returns, her secretary, Mary Dennison, and her advertising executive, Bill Lane, notices she is also having a personality change and it isn't for the better, albeit she was no Miss Congegeniality to begin with. Then, Zinthrop gets hit by an automobile, for plot-development purposes, and is somewhat incapacitated and not in any shape to be whipping up any new batches of Zinthrop's Wasp Enzyme Injection Serum and, without her enzyme injections, Janice turns into a wasp-like woman and meaner that a yellow-jacket hornet. Several people don't live to regret coming into contact with her, and this is not good for the business, either. —Les Adams <longhorn1939@suddenlink.net>",
49,Hell of the Living Dead,4.9,1980,Bruno Mattei,Claudio Fragasso,Jos� Mar�a Cunill�s,Margie Newton,Franco Garofalo,Unrated,1h 39m,"In New Guinea, a top-secret experiment of the Hope Center Chemical Factory goes awry and chemicals are accidentally released, turning scientists and workers into zombies. The famous French journalist Lia Rousseau and her cameraman Pierre are assigned to make a reportage and disclose to the world what is happening in New Guinea. Meanwhile, four soldiers are assigned to a secret mission also in New Guinea. When their Jeep stumbles upon the Land Rover where Lia and Pierre are traveling, they have to defend themselves against a zombie attack. Then they decide to travel together, learning that the island and the residents are infected with a chemical that turns most of them into zombies. —Claudio Carvalho, Rio de Janeiro, Brazil",
50,Shrooms,4.6,2007,Paddy Breathnach,Pearse Elliott,,Lindsey Haun,Jack Huston,Not Rated,1h 24m,"3 couples go to Ireland woods to collect magic mushrooms and trip out. On their way they meet some strange inhabitants of the woods and it doesn't take long until a creepy story is being told at the campfire which might be more than just a story. So strange things happen, people start disappearing, silhouettes move through the woods and the creepy story starts to melt into reality. The horror kicks in along with the effect of the mushrooms. —Anonymous",
51,Camp Pleasant Lake,3.4,2024,Thomas Walton,Thomas Walton,,Bonnie Aarons,Jonathan Lipnicki,,1h 30m,"A couple breathes life into a new camp on an old campsite, connecting them to a chilling past that unravels a 20-year-old mystery involving a missing young girl. As eerie events unfold, they must confront forces tied to a brutal crime.",
52,The Brain That Wouldn't Die,4.5,1962,Joseph Green,Doris Brent,Joseph Green,Jason Evers,Virginia Leith,Approved,1h 22m,"Dr. Bill Cortner has been performing experimental surgery on human guinea pigs without authorization and against the advice of his father, also a surgeon. When Bill's fiancée Jan Compton is decapitated in an automobile accident, he manages to keep her brain alive. He now needs to find a new body for his bride-to-be and settles on Doris Powell, a glamor model with a facial disfigurement. Jan meanwhile doesn't want to continue her body-less existence and calls upon the creature hidden in the basement, one of Bill Cortner's unsuccessful experiments, to break loose. —garykmcd",
53,2-Headed Shark Attack,2.5,2012,Christopher Ray,Edward DeRuiter,H. Perry Horton,Carmen Electra,Charlie O'Connell,R,1h 28m,"Terror takes a ghastly form when a gigantic two-headed shark sinks a ship full of students, and the survivors wash up on a tiny atoll. But just when the kids think they're safe, a tsunami sweeps them back into the deep to face the twin jaws anew. —Anonymous",
54,Creepozoids,4,1987,David DeCoteau,Dave Eisenstark,David DeCoteau,Richard L. Hawkins,Linnea Quigley,R,1h 12m,"The year is 1998, six years after the nuke wars reduced the world to rubble and a few bands of wandering survivors. One of these groups stumbles into an abandoned government research facility, where they were working on making the body capable of creating its own amino acids, thus obviating the need for food. They are then attacked by one of the leftover experiments and begin experiencing an attrition problem.",
55,Nightbeast,4.2,1982,Don Dohler,Don Dohler,,Tom Griffith,Jamie Zemarel,R,1h 21m,"Baltimore filmaker Don Dohler does an update on his 1979 film ""The Alien Factor"" this time only a single alien(reptilian looking)crash landing near a small town and going on a rampage. —Humberto Amador",
56,Satanic Hispanics,5.8,2022,Directors,Pete Barnstrom,Alejandro Mendez,Efren Ramirez,Greg Grunberg,R,1h 52m,"When police raid a house in El Paso, they find it full of dead Latinos, and only one survivor. Known as ""The Traveler,"" he is taken to the police station for questioning. There, he recounts tales of horrors from his life, chronicling portals leading to other worlds, mythical beings, demons and the undead; he speaks of legends from Latin America. Satanic Hispanics tells stories by top Latin filmmakers that showcase the skills of Hispanic talent, both on and off screen. —Epic Pictures",
57,Monster Mash,3.6,2024,Jose Prendes,Jose Prendes,,Michael Madsen,Ethan Daniel Corbett,,1h 25m,"Dracula, the Werewolf, the Mummy and the Invisible Man must work together to stop Dr. Frankenstein from creating an unstoppable monster.",
58,Nightmare City,5.6,1980,Umberto Lenzi,Antonio Cesare Corti,Luis María Delgado,Hugo Stiglitz,Laura Trotter,R,1h 28m,"In a nameless European city, a local reporter and his doctor wife try to escape from hordes of blood thirsty zombies, undead people exposed to nuclear radioactivity, while the military leaders fight a losing war of attrition against the relentless atomic zombies. —Anonymous",
59,Two Thousand Maniacs!,5.8,1964,Herschell Gordon Lewis,Herschell Gordon Lewis,,Connie Mason,William Kerwin,Not Rated,1h 23m,"The citizens of the southern town Pleasant Valley lure six Yankee tourists into town where they are to be the reluctant guests for the centennial celebration of the day a band of renegade Union troops decimated the town. The town then participates in events, a different event for each of the tourists, in which the tourist is dispatched. One couple begins to suspect something and seeks a way to escape. —Ed Sutton <esutton@mindspring.com>",
